Date,sero,daily_death,sero_lower,sero_upper
2020/9/17,,2,,
2020/9/18,,1,,
2020/9/19,,3,,
2020/9/20,0.028,0,0.014,0.045
2020/9/21,,2,,
2020/9/22,,0,,
2020/9/23,,2,,
2020/9/24,,2,,
2020/9/25,,2,,
2020/9/26,,3,,
2020/9/27,,1,,
2020/9/28,,7,,
2020/9/29,,4,,
2020/9/30,,2,,
2020/10/1,,5,,
2020/10/2,,2,,
2020/10/3,,2,,
2020/10/4,,2,,
2020/10/5,,2,,
2020/10/6,,1,,
2020/10/7,,4,,
2020/10/8,,5,,
2020/10/9,,2,,
2020/10/10,,3,,
2020/10/11,,5,,
2020/10/12,,8,,
2020/10/13,,3,,
2020/10/14,,3,,
2020/10/15,,6,,
2020/10/16,,3,,
2020/10/17,,4,,
2020/10/18,,6,,
2020/10/19,,11,,
2020/10/20,,10,,
2020/10/21,,13,,
2020/10/22,,9,,
2020/10/23,,8,,
2020/10/24,,10,,
2020/10/25,,11,,
2020/10/26,,15,,
2020/10/27,,7,,
2020/10/28,,15,,
2020/10/29,,11,,
2020/10/30,,11,,
2020/10/31,,25,,
2020/11/1,,23,,
2020/11/2,,20,,
2020/11/3,,18,,
2020/11/4,,15,,
2020/11/5,,13,,
2020/11/6,,19,,
2020/11/7,,20,,
