date,Certificate Death,28days Positive Death
2020/11/13,350,357
2020/11/14,366,358
2020/11/15,373,382
2020/11/16,361,358
2020/11/17,376,364
2020/11/18,442,435
2020/11/19,405,397
2020/11/20,404,388
2020/11/21,413,398
2020/11/22,420,406
2020/11/23,427,400
2020/11/24,423,406
2020/11/25,436,425
2020/11/26,378,372
2020/11/27,384,362
2020/11/28,388,383
2020/11/29,423,402
2020/11/30,384,362
2020/12/1,357,346
2020/12/2,346,336
2020/12/3,410,405
2020/12/4,420,411
2020/12/5,345,344
2020/12/6,362,355
2020/12/7,378,354
2020/12/8,394,375
2020/12/9,380,373
2020/12/10,407,380
2020/12/11,424,397
2020/12/12,410,374
2020/12/13,409,365
2020/12/14,421,412
2020/12/15,408,388
2020/12/16,385,355
2020/12/17,462,439
2020/12/18,478,435
2020/12/19,456,412
2020/12/20,452,430
2020/12/21,504,496
2020/12/22,535,489
2020/12/23,515,481
2020/12/24,502,486
2020/12/25,557,537
2020/12/26,590,566
2020/12/27,609,574
2020/12/28,613,590
2020/12/29,612,578
2020/12/30,654,624
2020/12/31,696,651
2021/1/1,690,644
2021/1/2,720,669
2021/1/3,676,651
2021/1/4,783,753
2021/1/5,843,819
2021/1/6,872,824
2021/1/7,906,888
2021/1/8,913,886
2021/1/9,964,927
2021/1/10,1013,981
2021/1/11,1061,1004
2021/1/12,1155,1091
2021/1/13,1147,1098
2021/1/14,1155,1089
2021/1/15,1151,1101
2021/1/16,1226,1170
2021/1/17,1210,1167
2021/1/18,1230,1168
2021/1/19,1316,1243
2021/1/20,1226,1173
2021/1/21,1187,1133
2021/1/22,1172,1122
2021/1/23,1132,1057
2021/1/24,1075,1040
2021/1/25,1135,1068
2021/1/26,1027,960
2021/1/27,1090,1006
2021/1/28,1100,1015
2021/1/29,994,944
2021/1/30,913,831
2021/1/31,891,810
2021/2/1,880,803
2021/2/2,842,758
2021/2/3,859,777
2021/2/4,726,649
2021/2/5,761,674
2021/2/6,674,609
2021/2/7,655,566
2021/2/8,693,611
2021/2/9,617,535
2021/2/10,617,542
2021/2/11,572,507
2021/2/12,534,451
2021/2/13,503,430
2021/2/14,506,435
2021/2/15,538,459
2021/2/16,490,395
2021/2/17,431,383
2021/2/18,445,365
2021/2/19,381,317
2021/2/20,380,301
2021/2/21,350,285
2021/2/22,314,242
2021/2/23,326,254
2021/2/24,309,239
2021/2/25,295,219
2021/2/26,253,193
2021/2/27,257,196
2021/2/28,247,197
2021/3/1,245,192
2021/3/2,206,154
2021/3/3,180,125
2021/3/4,200,130
2021/3/5,196,156
2021/3/6,171,129
2021/3/7,172,113
2021/3/8,160,120
2021/3/9,160,114
2021/3/10,127,96
2021/3/11,144,105
2021/3/12,113,82
2021/3/13,119,97
2021/3/14,107,79
2021/3/15,118,83
2021/3/16,92,67
2021/3/17,100,64
2021/3/18,82,52
2021/3/19,78,56
2021/3/20,85,59
2021/3/21,105,70
2021/3/22,83,55
2021/3/23,77,45
2021/3/24,56,33
2021/3/25,64,37
2021/3/26,58,41
2021/3/27,53,29
2021/3/28,40,27
2021/3/29,54,25
2021/3/30,48,37
2021/3/31,64,36
2021/4/1,51,28
2021/4/2,38,19
2021/4/3,30,26
2021/4/4,46,23
2021/4/5,32,10
2021/4/6,36,23
2021/4/7,35,24
2021/4/8,48,31
2021/4/9,30,17
2021/4/10,35,18
2021/4/11,31,18
2021/4/12,33,25
2021/4/13,35,19
2021/4/14,24,9
2021/4/15,35,17
2021/4/16,27,15
2021/4/17,31,17
2021/4/18,24,14
2021/4/19,16,15
2021/4/20,25,17
2021/4/21,22,17
2021/4/22,27,14
2021/4/23,21,17
2021/4/24,17,7
2021/4/25,20,12
2021/4/26,11,8
2021/4/27,22,9
2021/4/28,14,13
2021/4/29,13,11
2021/4/30,5,8
