week,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and Humber
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,7.117589656,5.157407006,2.809192257,6.483732778,6.612878902,4.724241779,4.103959571,5.369012148,7.659971976
20,5.034770515,3.445327591,2.050204658,4.796353903,4.633667406,3.396996997,2.750462644,3.760959852,5.530742891
21,4.978634201,2.96409636,1.728579429,3.347583508,4.253915508,2.451261139,1.574541834,3.657455893,4.907078028
22,3.865145581,1.900254562,1.02879734,2.885264885,3.725428482,2.10886607,1.491878885,2.697634775,4.616240267
23,3.723973825,1.538407748,0.854118213,1.988071571,2.947325629,1.340888056,0.731261426,2.010050251,3.881349189
24,3.910498568,1.507244119,0.831683168,1.53785489,2.522221866,1.074299053,0.447656988,1.891954556,5.050776182
25,5.007428603,1.92649504,0.795955146,0.949640288,3.402798326,1.063051265,0.469302475,2.034108527,5.857157087
26,4.668639053,1.351351351,0.786255096,1.021919431,3.247737833,0.88665998,0.336828726,1.831113801,4.8784605
27,2.842960289,0.962507559,0.746672438,0.487736901,2.261064785,0.721593278,0.459717274,1.422957847,3.144109009
28,2.305040096,1.211254173,0.741918389,0.754326283,2.230936156,0.746819376,0.452976704,1.706844976,2.77444844
29,1.445455318,1.238403452,0.981632204,0.844875346,1.917449346,0.807508222,0.471721291,2.10145319,2.217238874
30,1.702745008,1.152304609,1.116533178,0.795053004,2.735739232,0.881289365,0.891901534,2.548177386,2.703385548
31,1.986298887,0.838874992,1.202819463,1.037580666,2.58657184,0.727631208,0.99009901,1.898097529,2.951472051
32,2.057708162,1.013933814,1.285209631,1.235343384,2.661537931,0.654153085,0.989041421,2.204700299,2.885532853
33,1.919247968,1.088405153,1.714066431,1.580152672,3.169565576,0.991095798,1.060284762,2.890853354,3.424589677
34,1.675658521,1.194113525,1.917001339,1.626934059,2.731448909,1.269298106,1.317115785,2.324370076,2.522028832
35,1.735207357,1.797333178,2.327319534,2.638860768,3.745928339,1.513713795,1.305332806,2.676060997,3.312181856
36,3.491011169,2.154331382,3.826914474,5.015219597,5.894116227,2.283951862,2.229188436,5.321978347,5.735820505
37,3.494704642,1.974639435,3.906365226,4.426580922,6.478910311,1.689553658,1.39474817,4.332726351,6.183039545
38,4.318280819,2.587484327,4.584230041,9.239921253,9.164581238,1.980658154,1.98527561,5.404861632,7.499706124
39,5.836117115,3.298068957,5.072938862,11.83880082,11.1794657,2.859221535,2.903543307,6.796073082,8.886141674
