week,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and Humber
27,1.583361288,1.300868672,0.390887693,0.600075009,1.315789474,0.933086032,0.265930758,0.929969686,1.102122808
28,1.175424106,0.883915177,0.399459438,0.582312265,0.947198016,0.87820661,0.17215937,1.000196117,0.95889673
29,0.942457414,0.626471258,0.266947537,0.367908854,0.915421584,0.580850177,0.208173055,0.696618315,0.63537072
30,0.740021837,0.639724191,0.361225423,0.254100254,0.796231172,0.462914531,0.173240938,0.693155093,0.674089979
31,0.478954189,0.410595545,0.265623693,0.145218945,0.833110973,0.381679389,0.138354447,0.489112713,0.50957234
32,0.391476987,0.369528141,0.314295229,0.294213795,0.705857839,0.286362933,0.130362645,0.420997237,0.509602227
33,1.463522395,0.255058663,0.343996579,0.209229339,0.65522283,0.247946691,0.109249818,0.518752417,0.448028674
34,0.590352772,0.182498685,0.293111871,0.204638472,0.55064114,0.145355999,0.110644792,0.367472736,0.399506991
35,0.321220638,0.389539713,0.374702286,0.379277648,0.580092616,0.183057984,0.097219522,0.414801552,0.569604912
36,0.404231959,0.271135597,0.375534101,0.768937952,0.923567637,0.240591546,0.14461316,0.614254313,0.571517437
37,0.752132443,0.391384554,0.628273554,1.166612955,1.914938435,0.430865648,0.346552457,0.78279929,0.90298194
38,0.98426693,0.742082633,1.033494932,2.809486867,2.909011374,0.467921574,0.453566164,1.345550395,1.616736598
39,1.421550095,0.721660458,1.144628192,4.059141252,4.010574018,0.704487123,0.662309368,1.854290103,2.29209521
40,1.892720307,0.979830897,1.289145491,5.915038537,5.058288087,0.901010805,0.92808126,2.244150448,2.980061019
41,2.989682958,1.334381669,1.646418688,6.89049042,7.205752586,1.143537033,1.334947783,3.264945952,4.302318505
42,4.106930019,2.268415237,2.011857971,8.063249972,8.600408,1.980583154,1.736313762,3.653180385,5.578657608
43,5.212624374,2.953332531,2.401947525,8.549733364,9.437903532,2.387841404,2.976372184,5.049649395,7.635915946
44,5.504664612,2.470901064,2.511120097,7.515223526,9.023954769,2.416834354,3.252637273,6.316271763,8.191765518
