week,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and Humber
5,0,0,0,0,0,0,0,0,4.545454545
6,0,0,0,0,0,5.128205128,0,0,0
7,0,0,0.224719101,0,0,0,0,0,0
8,1.724137931,0,0,0,0,0.555555556,0,0,0
9,2.030456853,0.52246604,1.146953405,0,1.236476043,1.164483261,0.556792873,0.636942675,1.103752759
10,7.03125,2.713567839,5.345757724,2.527075812,5.595408895,5.06585613,5.469678954,4.990403071,4.895104895
11,11.75422974,7.502623295,19.26062092,3.426124197,8.353929807,14.89173663,5.416666667,10.84215835,5.945558739
12,14.69730124,15.86040083,41.1467967,7.25478816,18.87850467,24.47257384,10.35714286,23.01189731,13.6189481
13,30.87947883,40.04317323,55.87352873,23.76275028,39.38697318,37.82267116,22.71366811,49.36086529,27.7059224
14,37.82173499,46.10933759,53.33863275,38.30429733,52.47816997,40.92906466,27.63373044,55.39449161,37.24469363
15,34.25186711,41.83356354,45.65937707,40.13351659,48.6431479,38.79902738,25.28477736,44.42891374,37.8807458
16,28.47516846,31.64640158,32.25806452,32.76531493,38.51310177,31.43818633,20.59545734,33.4841629,32.52954328
17,23.21386742,21.65245448,18.87224303,27.05197672,26.75858435,20.89853202,11.99545913,24.99700276,27.99509336
18,9.777533645,10.52196667,6.903914591,15.04810776,13.77084454,9.464542538,5.638977636,10.78264725,11.92481304
19,7.909326106,8.602873225,5.172999796,12.72895182,9.672068394,6.163208852,3.855444971,7.847361132,9.871009057
20,7.354568934,5.79009901,3.058989756,8.288253478,8.486297828,4.856192316,2.192368691,6.05981341,7.516690019
21,5.695538058,4.593321325,1.895288662,6.728734659,7.360406091,4.746136865,1.755725191,4.373106216,4.845585037
22,4.067321178,3.223689607,1.46586188,4.129858657,5.145360414,3.215218202,1.489868892,3.060516733,3.808508576
23,2.74356103,2.269471462,1.045502367,2.232048852,3.609576427,2.30171262,1.012891344,2.416292717,2.943890735
24,2.706589958,2.204876479,0.912706174,1.756311745,3.290595123,1.4864471,0.310853985,1.921024546,2.262564836
25,2.231974922,1.876291938,0.682680152,1.357365376,2.308314342,1.481865882,0.270718715,1.550320457,1.797875238
26,1.758890743,0.969093766,0.883861796,0.767148014,1.45393439,1.013782891,0.312880236,1.12339515,1.459584296
27,1.262862488,0.992857143,0.581714411,0.467562829,1.080584787,0.9,0.183226451,0.621922778,0.911552347
28,1.094017094,0.694257212,0.522193211,0.439606448,0.766892359,0.761263594,0.090408482,1.092109719,0.885355497
29,0.828757899,0.510890024,0.380307372,0.226991333,0.814018517,0.473706876,0.190534258,0.765964533,0.625736828
30,0.532765051,0.641925777,0.599755852,0.266995276,0.842623801,0.392881904,0.181345108,0.874485597,0.610187478
31,0.372657581,0.398909647,0.373098168,0.103241792,1.021387055,0.33237881,0.120182678,0.634844102,0.50097648
32,0.360713181,0.359550562,0.481904487,0.340136054,0.917340698,0.343132234,0.100876853,0.604525774,0.57294339
33,2.373668108,0.293423487,0.419337736,0.227932035,0.788749935,0.305888351,0.115260489,0.79097815,0.562174862
34,0.931002379,0.239660367,0.389143392,0.209483908,0.702563553,0.202332144,0.092807425,0.62453776,0.46217049
35,0.435806832,0.592898541,0.596516345,0.629383204,0.955062383,0.27810461,0.073685934,0.863479367,0.867904878
36,0.587354601,0.472162109,0.710446366,1.285760206,1.558915537,0.405679513,0.145171149,1.279974076,0.791707476
37,1.139301101,0.573752228,1.272950787,1.906912558,3.391924748,0.77090733,0.565752253,1.589585474,1.532013297
38,1.584088709,1.136469928,1.906822638,4.934247499,5.139294759,0.837012862,0.70970696,2.439751849,2.70624702
39,2.147790709,1.118359739,2.132055202,6.637168142,6.514581373,1.126797047,1.008226635,3.063591703,3.295101705
