Date,sero,daily_death_NorthEast,sero_lower,sero_upper
2020/9/16,,2,,
2020/9/17,,4,,
2020/9/18,,3,,
2020/9/19,,1,,
2020/9/20,,3,,
2020/9/21,,5,,
2020/9/22,,2,,
2020/9/23,,5,,
2020/9/24,,1,,
2020/9/25,,6,,
2020/9/26,,8,,
2020/9/27,,11,,
2020/9/28,,6,,
2020/9/29,,5,,
2020/9/30,,3,,
2020/10/1,,5,,
2020/10/2,,18,,
2020/10/3,,7,,
2020/10/4,,9,,
2020/10/5,,7,,
2020/10/6,,10,,
2020/10/7,,11,,
2020/10/8,,13,,
2020/10/9,,7,,
2020/10/10,,16,,
2020/10/11,,14,,
2020/10/12,,11,,
2020/10/13,,13,,
2020/10/14,,16,,
2020/10/15,,16,,
2020/10/16,,15,,
2020/10/17,,18,,
2020/10/18,,15,,
2020/10/19,,22,,
2020/10/20,,17,,
2020/10/21,,19,,
2020/10/22,,22,,
2020/10/23,,13,,
2020/10/24,,14,,
2020/10/25,,16,,
2020/10/26,,21,,
2020/10/27,,19,,
2020/10/28,,27,,
2020/10/29,,16,,
2020/10/30,,26,,
2020/10/31,,17,,
2020/11/1,,25,,
2020/11/2,,19,,
2020/11/3,,17,,
2020/11/4,,20,,
2020/11/5,,23,,
2020/11/6,,26,,
2020/11/7,,24,,
