week,positivity
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,5.279640659
20,3.836156297
21,3.288792841
22,2.685867468
23,2.034442143
24,2.020354651
25,2.509464837
26,2.108390839
27,1.481608604
28,1.456791334
29,1.37294793
30,1.632072908
31,1.600421391
32,1.71388921
33,2.001020593
34,1.855724543
35,2.3451566
36,3.990175257
37,3.940044652
38,5.565939138
39,6.959739303
