week,positivity
27,1.288441644
28,1.090134664
29,1.007654695
30,1.19744359
31,1.146329161
32,1.143214881
33,1.24444154
34,1.186115037
35,1.363573096
36,2.138449707
37,2.124666864
38,2.762390609
39,4.002374386
40,6.373182945
41,7.493849395
42,8.190680987
43,9.427260678
44,9.967053053
